INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,IDADE,HOMEKIDS,YOJ,SALARIO,CONTA_CLI,HOME_VAL,CASADO,SEX,EDUCATION,JOB,TRAVTIME,USO_PROD,VALOR_SOLICITADO,TIF,TIPO_PROD,PROD_ALTO_VALOR,OLDCLAIM,CLM_FREQ,TRAN_SUSP,TEMPO_CLIENTE,TEMPO_VIDA_PROD,URBANICITY
1,0,0,0,60,0,11,67349.3816169868,No,0,No,M,PhD,Profissional,13.9505862426998,Pessoal,14230,11,Poupanca,yes,4461,2,No,3,18,Urbano
2,0,0,0,43,0,11,91449.2546351364,No,257251.63538943,No,M,Ensino Medio,Trabalho Manual,21.9432089275606,Comercial,14940,1,Poupanca,yes,0,0,No,0,1,Urbano
4,0,0,0,35,1,10,16038.5871010253,No,124190.752859313,Yes,F,Ensino Medio,Trabalho Administrativo,5,Pessoal,4010,4,Renda Variavel,no,38690,2,No,3,10,Urbano
5,0,0,0,51,0,14, ,No,306251.380643571,Yes,M,Ensino Fundamental,Trabalho Manual,31.9046472089438,Pessoal,15440,7,Poupanca,yes,0,0,No,0,6,Urbano
6,0,0,0,50,0, ,114985.642811351,No,243925.298096985,Yes,F,PhD,Medico,36.0133344436959,Pessoal,18000,1,Renda Variavel,no,19217,2,Yes,3,17,Urbano
7,1,2946,0,34,1,12,125301.242537081,Yes,0,No,F,Ensino Superior,Trabalho Manual,45.7030125817424,Comercial,17430,1,CDB,no,0,0,No,0,7,Urbano
8,0,0,0,54,0, ,18755.4784776606,No, ,Yes,F,Ensino Fundamental,Trabalho Manual,33.2905673974861,Pessoal,8780,1,Renda Variavel,no,0,0,No,0,1,Urbano
11,1,4021,1,37,2, ,107961.201044019,No,333679.540818327,Yes,M,Ensino Superior,Trabalho Manual,44.0644102981132,Comercial,16970,1,Renda Fixa,yes,2374,1,Yes,10,7,Urbano
12,1,2501,0,34,0,10,62977.8241610145,No,0,No,F,Ensino Superior,Trabalho Administrativo,33.6399491915796,Pessoal,11200,1,Renda Variavel,no,0,0,No,0,1,Urbano
13,0,0,0,50,0,7,106951.540105994,No,0,No,M,Ensino Superior,Profissional,47.9315289418142,Comercial,18510,7,Renda Fixa,no,0,0,No,1,17,Rural
14,1,6077,0,53,0,14,77099.9662427782,No,0,No,F,Mestrado,Advogado,15.4156756453081,Pessoal,18300,1,CDB,no,0,0,No,0,11,Urbano
15,0,0,0,43,0,5,52642.0952333056,No,209969.870087674,Yes,F,Mestrado,Profissional,35.6217626262002,Pessoal,22420,7,Poupanca,no,0,0,No,0,1,Rural
