INDEX,TARGET_FLAG,KIDSDRIV,IDADE,HOMEKIDS,YOJ,SALARIO,CONTA_CLI,HOME_VAL,CASADO,SEX,EDUCATION,JOB,TRAVTIME,USO_PROD,VALOR_SOLICITADO,TIF,TIPO_PROD,PROD_ALTO_VALOR,OLDCLAIM,CLM_FREQ,TRAN_SUSP,TEMPO_CLIENTE,TEMPO_VIDA_PROD,URBANICITY
3, ,0,48,0,11,52881.35691,No,0,No,M,Ensino Superior,Gerente,25.58289423,Pessoal,21970,1,Poupanca,yes,0,0,No,2,10,Urbano
9, ,1,40,1,11,50815.44531,Yes,0,No,M,Ensino Medio,Gerente,20.59162765,Pessoal,18930,6,Tesouro Direto,no,3295,1,No,2,1,Urbano
10, ,0,44,2,12,43485.5138,Yes,0,No,F,Ensino Medio,Trabalho Manual,30.28093407,Comercial,5900,10,CDB,no,0,0,No,0,10,Rural
18, ,0,35,2, ,21203.61831,Yes,0,No,M,Ensino Medio,Trabalho Administrativo,73.96445991,Pessoal,9230,6,Criptomoeda,no,0,0,Yes,0,4,Rural
21, ,0,59,0,12,87460.05269,No,0,No,M,Ensino Medio,Gerente,45.0004876,Pessoal,15420,1,Tesouro Direto,yes,44857,2,No,4,1,Urbano
30, ,0,46,0,14, ,No,207518.6269,Yes,M,Ensino Superior,Profissional,6.81948968,Comercial,25660,1,Renda Variavel,no,2119,1,No,2,12,Urbano
31, ,0,60,0,12,37940.23442,No,182738.8545,Yes,F,Ensino Medio,Trabalho Manual,15.66594707,Comercial,11290,1,Renda Fixa,no,0,0,No,0,1,Urbano
37, ,0,54,0,12,33212.38966,No,158431.837,Yes,M,Ensino Fundamental,Trabalho Manual,27.49074868,Comercial,24000,4,Renda Variavel,no,0,0,No,5, ,Urbano
39, ,2,36,2,12,130539.5961,Yes,344195.4692,No,F,Ensino Superior,Trabalho Manual,5,Comercial,27200,4,Tesouro Direto,no,0,0,No,0,9,Rural
47, ,0,50,0,8,167468.7748,No,0,No,F,PhD,Medico,22.02903501,Pessoal,34150,4,Renda Fixa,no,0,0,No,3,1,Urbano
60, ,0,42,0, ,52988.28246,No,176275.3252,Yes,M,Ensino Medio,Trabalho Manual,23.90067212,Comercial,23450,1,Tesouro Direto,no,0,0,No,2,11,Rural
62, ,0,41,2,7,17755.48669,Yes,148814.7227,No,F,Ensino Fundamental,Trabalho Administrativo,29.17183148,Pessoal,14480,1,Tesouro Direto,yes,0,0,Yes,2,1,Urbano
63, ,1,37,2,13, ,Yes,0,No,F,Ensino Medio,Trabalho Manual,61.60320818,Comercial,9360,4,Renda Fixa,no,0,0,No,0, ,Urbano
64, ,0,36,3,12,56048.07435,No,137835.7297,Yes,M,Mestrado,Advogado,14.96198015,Pessoal,10700,6,Tesouro Direto,no,2045,2,No,2,16,Urbano
68, ,0,34,3,12,22510.32645,No,123888.1447,Yes,M,Ensino Medio,Trabalho Administrativo,25.5800963,Pessoal,14690,4,Tesouro Direto,yes,0,0,Yes,0,1,Rural
75, ,0,35,2,12, ,Yes,0,No,F,Ensino Fundamental,Trabalho Manual,42.50081473,Pessoal,9730,5,CDB,no,0,0,No,4,4,Urbano
76, ,2,44,2,14,45575.8243,No,156622.7545,Yes,F,Ensino Fundamental,Trabalho Manual,26.8990128,Pessoal,1500,4,Renda Fixa,no,25276,1,No,8, ,Urbano
83, ,0,48,0,9,61509.07864,No,195437.8522,Yes,M,Mestrado, ,39.77363593,Comercial,23230,6,Renda Variavel,yes,0,0,No,1,17,Urbano
87, ,0,62,0,15,40656.44899,No,208241.6005,Yes,F,Ensino Medio,Trabalho Administrativo,57.09137453,Pessoal,9170,4,Renda Fixa,no,42342,2,Yes,2,7,Urbano
92, ,0,39,0,11,33727.07493,No,0,No,F,Ensino Superior,Trabalho Administrativo,26.96006361,Pessoal,10850,1,CDB,no,8350,1,No,2,12,Urbano
98, ,0,38,0,0,0,No,0,Yes,M,Ensino Medio,Estudante,41.48580993,Comercial,17470,10,Poupanca,no,3157,2,No,5,6,Rural
106, ,0,39,2,0,0,No,69369.27933,Yes,F,Ensino Medio,Do Lar,36.11940012,Pessoal,8750,4,Renda Fixa,no,0,0,No,0,8,Urbano
107, ,2,44,2,13,142588.0453,No,365255.911,Yes,M,Mestrado,Gerente,28.22667289,Pessoal,21790,6,Tesouro Direto,yes,0,0,No,2,9,Urbano
113, ,0,45,0,12,32394.04015,No,0,No,F,Ensino Medio,Trabalho Administrativo,32.57170494,Pessoal,13770,4,CDB,no,0,0,No,0,1,Urbano
