"","Id_Cliente","Idade","Escolaridade","Trabalho","Salario","Previsao_Risco"
"1",3,48,"Ensino Superior","Gerente",52881.35691,"Baixo Risco"
"2",9,40,"Ensino Medio","Gerente",50815.44531,"Alto Risco"
"3",10,44,"Ensino Medio","Trabalho Manual",43485.5138,"Baixo Risco"
"4",18,35,"Ensino Medio","Trabalho Administrativo",21203.61831,"Baixo Risco"
"5",21,59,"Ensino Medio","Gerente",87460.05269,"Baixo Risco"
"6",30,46,"Ensino Superior","Profissional",76000,"Baixo Risco"
"7",31,60,"Ensino Medio","Trabalho Manual",37940.23442,"Baixo Risco"
"8",37,54,"Ensino Fundamental","Trabalho Manual",33212.38966,"Alto Risco"
"9",39,36,"Ensino Superior","Trabalho Manual",130539.5961,"Baixo Risco"
"10",47,50,"PhD","Medico",167468.7748,"Baixo Risco"
"11",60,42,"Ensino Medio","Trabalho Manual",52988.28246,"Baixo Risco"
"12",62,41,"Ensino Fundamental","Trabalho Administrativo",17755.48669,"Alto Risco"
"13",63,37,"Ensino Medio","Trabalho Manual",58000,"Alto Risco"
"14",64,36,"Mestrado","Advogado",56048.07435,"Baixo Risco"
"15",68,34,"Ensino Medio","Trabalho Administrativo",22510.32645,"Baixo Risco"
"16",75,35,"Ensino Fundamental","Trabalho Manual",58000,"Alto Risco"
"17",76,44,"Ensino Fundamental","Trabalho Manual",45575.8243,"Alto Risco"
"18",83,48,"Mestrado","Trabalho Administrativo",61509.07864,"Baixo Risco"
"19",87,62,"Ensino Medio","Trabalho Administrativo",40656.44899,"Baixo Risco"
"20",92,39,"Ensino Superior","Trabalho Administrativo",33727.07493,"Baixo Risco"
"21",98,38,"Ensino Medio","Estudante",0,"Baixo Risco"
"22",106,39,"Ensino Medio","Do Lar",0,"Baixo Risco"
"23",107,44,"Mestrado","Gerente",142588.0453,"Baixo Risco"
"24",113,45,"Ensino Medio","Trabalho Administrativo",32394.04015,"Baixo Risco"
